Category,Resume
HR,"Passionate about HR and building scalable solutions. Master's degree in Engineering. Worked on various projects involving HR Policies and Interviewing. Implemented solutions that improved efficiency by 20%. Skills: HR Policies, Interviewing, Talent Acquisition, Communication, Sourcing, Onboarding, Recruitment. "
Testing,"Results-oriented Testing looking for challenging opportunities. B.S. in relevant field. Worked on various projects involving Selenium and Java. Implemented solutions that improved efficiency by 20%. Skills: Selenium, Java, Python, API Testing, Bug Tracking, Cucumber, TestNG, Agile. "
Business Analyst,"Dedicated Business Analyst specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Agile and Communication. Implemented solutions that improved efficiency by 20%. Skills: Agile, Communication, Scrum, Stakeholder Management, Excel, UML. "
Python Developer,"Highly skilled Python Developer with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Unit Testing and Python. Implemented solutions that improved efficiency by 20%. Skills: Unit Testing, Python, Linux, Redis, AWS, PostgreSQL, REST API, Flask. "
Java Developer,"Results-oriented Java Developer looking for challenging opportunities. B.S. in relevant field. Worked on various projects involving Spring Boot and REST API. Implemented solutions that improved efficiency by 20%. Skills: Spring Boot, REST API, Hibernate, Microservices, J2EE, SQL, Junit, Tomcat. "
Testing,"Experienced professional with a proven track record in Testing. Bachelor's degree in Computer Science. Worked on various projects involving Automation Testing and Java. Implemented solutions that improved efficiency by 20%. Skills: Automation Testing, Java, Agile, API Testing, TestNG. "
DevOps,"Dedicated DevOps specialist with strong background. B.S. in relevant field. Worked on various projects involving Git and Bash. Implemented solutions that improved efficiency by 20%. Skills: Git, Bash, Ansible, Linux, Prometheus, Kubernetes, CI/CD. "
Business Analyst,"Experienced professional with a proven track record in Business Analyst. MBA in Human Resources. Worked on various projects involving Data Analysis and Business Analysis. Implemented solutions that improved efficiency by 20%. Skills: Data Analysis, Business Analysis, Agile, UML, Jira, Communication. "
NLP Engineer,"Highly skilled NLP Engineer with over 5 years of experience. MBA in Human Resources. Worked on various projects involving Transformers and BERT. Implemented solutions that improved efficiency by 20%. Skills: Transformers, BERT, NLTK, Text Classification, LLMs, Natural Language Processing, spaCy, Deep Learning. "
DevOps,"Results-oriented DevOps looking for challenging opportunities. Bachelor's degree in Computer Science. Worked on various projects involving AWS and Ansible. Implemented solutions that improved efficiency by 20%. Skills: AWS, Ansible, CI/CD, Monitoring, Git, Bash, Docker. "
Business Analyst,"Passionate about Business Analyst and building scalable solutions. B.S. in relevant field. Worked on various projects involving Business Analysis and Agile. Implemented solutions that improved efficiency by 20%. Skills: Business Analysis, Agile, PowerBI, Jira, Requirement Gathering, Communication, UML. "
Web Designing,"Highly skilled Web Designing with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Adobe XD and React. Implemented solutions that improved efficiency by 20%. Skills: Adobe XD, React, CSS, Figma, Web Development, HTML, Angular, JavaScript. "
Data Science,"Highly skilled Data Science with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Keras and TensorFlow. Implemented solutions that improved efficiency by 20%. Skills: Keras, TensorFlow, Data Analysis, Tableau, Pandas, Python, NumPy, Statistics. "
Python Developer,"Passionate about Python Developer and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Flask and Python. Implemented solutions that improved efficiency by 20%. Skills: Flask, Python, PostgreSQL, Unit Testing, AWS. "
Data Science,"Passionate about Data Science and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Tableau and SQL. Implemented solutions that improved efficiency by 20%. Skills: Tableau, SQL, Machine Learning, Python, TensorFlow. "
Web Designing,"Dedicated Web Designing specialist with strong background. MBA in Human Resources. Worked on various projects involving Adobe XD and React. Implemented solutions that improved efficiency by 20%. Skills: Adobe XD, React, UI/UX, Web Development, Responsive Design, JavaScript, Bootstrap, Angular. "
Testing,"Experienced professional with a proven track record in Testing. Bachelor's degree in Computer Science. Worked on various projects involving Java and Postman. Implemented solutions that improved efficiency by 20%. Skills: Java, Postman, Agile, API Testing, Selenium, TestNG, Jira. "
Testing,"Highly skilled Testing with over 5 years of experience. Bachelor's degree in Computer Science. Worked on various projects involving Automation Testing and Jira. Implemented solutions that improved efficiency by 20%. Skills: Automation Testing, Jira, API Testing, Postman, Bug Tracking, Java, Selenium. "
HR,"Dedicated HR specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Employee Relations and Interviewing. Implemented solutions that improved efficiency by 20%. Skills: Employee Relations, Interviewing, Communication, Sourcing, Talent Acquisition, Human Resources. "
DevOps,"Passionate about DevOps and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving Kubernetes and CI/CD. Implemented solutions that improved efficiency by 20%. Skills: Kubernetes, CI/CD, Monitoring, Docker, Ansible, AWS, Jenkins. "
Business Analyst,"Experienced professional with a proven track record in Business Analyst. B.S. in relevant field. Worked on various projects involving Scrum and UML. Implemented solutions that improved efficiency by 20%. Skills: Scrum, UML, Data Analysis, Jira, Requirement Gathering, Stakeholder Management. "
Web Designing,"Experienced professional with a proven track record in Web Designing. Bachelor's degree in Computer Science. Worked on various projects involving Adobe XD and Bootstrap. Implemented solutions that improved efficiency by 20%. Skills: Adobe XD, Bootstrap, JavaScript, UI/UX, React, Responsive Design, Figma. "
DevOps,"Passionate about DevOps and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Docker and Linux. Implemented solutions that improved efficiency by 20%. Skills: Docker, Linux, Git, Kubernetes, Terraform. "
HR,"Experienced professional with a proven track record in HR. B.S. in relevant field. Worked on various projects involving Communication and Talent Acquisition. Implemented solutions that improved efficiency by 20%. Skills: Communication, Talent Acquisition, Human Resources, Recruitment, Onboarding, Payroll, HR Policies. "
Data Science,"Dedicated Data Science specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Tableau and Pandas. Implemented solutions that improved efficiency by 20%. Skills: Tableau, Pandas, Keras, Data Science, Statistics, SQL, TensorFlow. "
Data Science,"Highly skilled Data Science with over 5 years of experience. Master's degree in Engineering. Worked on various projects involving Scikit-learn and Statistics. Implemented solutions that improved efficiency by 20%. Skills: Scikit-learn, Statistics, Python, Data Analysis, Pandas, Data Science, Keras. "
Python Developer,"Results-oriented Python Developer looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving Git and Flask. Implemented solutions that improved efficiency by 20%. Skills: Git, Flask, FastAPI, Linux, Python, PostgreSQL, Django, REST API. "
Data Science,"Results-oriented Data Science looking for challenging opportunities. B.S. in relevant field. Worked on various projects involving Statistics and Machine Learning. Implemented solutions that improved efficiency by 20%. Skills: Statistics, Machine Learning, Keras, TensorFlow, SQL, NumPy, Python, Tableau. "
Testing,"Passionate about Testing and building scalable solutions. Master's degree in Engineering. Worked on various projects involving Java and Manual Testing. Implemented solutions that improved efficiency by 20%. Skills: Java, Manual Testing, Jira, Selenium, TestNG, Cucumber, Bug Tracking. "
Testing,"Passionate about Testing and building scalable solutions. B.S. in relevant field. Worked on various projects involving Manual Testing and Selenium. Implemented solutions that improved efficiency by 20%. Skills: Manual Testing, Selenium, Jira, Cucumber, Automation Testing. "
Java Developer,"Experienced professional with a proven track record in Java Developer. B.Tech in Information Technology. Worked on various projects involving Spring Boot and Java. Implemented solutions that improved efficiency by 20%. Skills: Spring Boot, Java, Microservices, J2EE, Git, Maven. "
Mechanical Engineer,"Highly skilled Mechanical Engineer with over 5 years of experience. MBA in Human Resources. Worked on various projects involving Project Management and Manufacturing. Implemented solutions that improved efficiency by 20%. Skills: Project Management, Manufacturing, Design, SolidWorks, Matlab, AutoCAD, Engineering, Product Design. "
Testing,"Passionate about Testing and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving API Testing and Automation Testing. Implemented solutions that improved efficiency by 20%. Skills: API Testing, Automation Testing, Python, Postman, Java. "
NLP Engineer,"Experienced professional with a proven track record in NLP Engineer. Master's degree in Engineering. Worked on various projects involving spaCy and Natural Language Processing. Implemented solutions that improved efficiency by 20%. Skills: spaCy, Natural Language Processing, NLTK, Transformers, PyTorch, Deep Learning, NLP, LLMs. "
Java Developer,"Experienced professional with a proven track record in Java Developer. Bachelor's degree in Computer Science. Worked on various projects involving Agile and SQL. Implemented solutions that improved efficiency by 20%. Skills: Agile, SQL, Microservices, Java, Maven, Tomcat. "
NLP Engineer,"Experienced professional with a proven track record in NLP Engineer. B.Tech in Information Technology. Worked on various projects involving NLTK and Natural Language Processing. Implemented solutions that improved efficiency by 20%. Skills: NLTK, Natural Language Processing, Transformers, Python, Deep Learning, spaCy, Text Classification. "
Python Developer,"Results-oriented Python Developer looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving AWS and Django. Implemented solutions that improved efficiency by 20%. Skills: AWS, Django, Python, Redis, Docker. "
Data Science,"Highly skilled Data Science with over 5 years of experience. Master's degree in Engineering. Worked on various projects involving Statistics and Scikit-learn. Implemented solutions that improved efficiency by 20%. Skills: Statistics, Scikit-learn, Keras, Tableau, Data Science, TensorFlow, SQL, Data Analysis. "
DevOps,"Passionate about DevOps and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Linux and Terraform. Implemented solutions that improved efficiency by 20%. Skills: Linux, Terraform, Jenkins, Git, Ansible, Prometheus, Monitoring. "
Testing,"Passionate about Testing and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Manual Testing and Jira. Implemented solutions that improved efficiency by 20%. Skills: Manual Testing, Jira, Bug Tracking, Postman, API Testing, Python, Java. "
Mechanical Engineer,"Highly skilled Mechanical Engineer with over 5 years of experience. B.Tech in Information Technology. Worked on various projects involving Product Design and Engineering. Implemented solutions that improved efficiency by 20%. Skills: Product Design, Engineering, Manufacturing, Matlab, CAD, Project Management, AutoCAD. "
Data Science,"Results-oriented Data Science looking for challenging opportunities. B.S. in relevant field. Worked on various projects involving Data Science and SQL. Implemented solutions that improved efficiency by 20%. Skills: Data Science, SQL, Data Analysis, Scikit-learn, Python, TensorFlow, NumPy. "
Java Developer,"Highly skilled Java Developer with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Junit and Java. Implemented solutions that improved efficiency by 20%. Skills: Junit, Java, Maven, Agile, Spring Boot, Git, SQL, Microservices. "
Business Analyst,"Highly skilled Business Analyst with over 5 years of experience. B.S. in relevant field. Worked on various projects involving PowerBI and Agile. Implemented solutions that improved efficiency by 20%. Skills: PowerBI, Agile, Excel, Stakeholder Management, SQL, UML, Jira. "
Testing,"Experienced professional with a proven track record in Testing. B.Tech in Information Technology. Worked on various projects involving TestNG and Jira. Implemented solutions that improved efficiency by 20%. Skills: TestNG, Jira, API Testing, Automation Testing, Bug Tracking, Postman, Selenium. "
Testing,"Highly skilled Testing with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Bug Tracking and Agile. Implemented solutions that improved efficiency by 20%. Skills: Bug Tracking, Agile, Java, Postman, Python, Automation Testing, Jira. "
Data Science,"Results-oriented Data Science looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving Data Science and Keras. Implemented solutions that improved efficiency by 20%. Skills: Data Science, Keras, TensorFlow, Python, Tableau, Data Analysis, Scikit-learn, Pandas. "
Java Developer,"Dedicated Java Developer specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving REST API and Spring Boot. Implemented solutions that improved efficiency by 20%. Skills: REST API, Spring Boot, J2EE, Maven, Microservices. "
Data Science,"Passionate about Data Science and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving SQL and Data Science. Implemented solutions that improved efficiency by 20%. Skills: SQL, Data Science, Machine Learning, Scikit-learn, Keras. "
Mechanical Engineer,"Passionate about Mechanical Engineer and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving Manufacturing and Project Management. Implemented solutions that improved efficiency by 20%. Skills: Manufacturing, Project Management, SolidWorks, Engineering, Product Design. "
Python Developer,"Passionate about Python Developer and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving Docker and AWS. Implemented solutions that improved efficiency by 20%. Skills: Docker, AWS, PostgreSQL, Flask, Git, REST API, Django, Python. "
NLP Engineer,"Passionate about NLP Engineer and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Deep Learning and Word2Vec. Implemented solutions that improved efficiency by 20%. Skills: Deep Learning, Word2Vec, Natural Language Processing, Transformers, Python, spaCy, BERT. "
Testing,"Highly skilled Testing with over 5 years of experience. MBA in Human Resources. Worked on various projects involving API Testing and Manual Testing. Implemented solutions that improved efficiency by 20%. Skills: API Testing, Manual Testing, Bug Tracking, Java, Cucumber, Selenium. "
Data Science,"Experienced professional with a proven track record in Data Science. B.S. in relevant field. Worked on various projects involving SQL and Scikit-learn. Implemented solutions that improved efficiency by 20%. Skills: SQL, Scikit-learn, Python, TensorFlow, Pandas, NumPy, Statistics. "
Mechanical Engineer,"Results-oriented Mechanical Engineer looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving CAD and Product Design. Implemented solutions that improved efficiency by 20%. Skills: CAD, Product Design, AutoCAD, Matlab, Engineering. "
Data Science,"Highly skilled Data Science with over 5 years of experience. B.Tech in Information Technology. Worked on various projects involving Python and Machine Learning. Implemented solutions that improved efficiency by 20%. Skills: Python, Machine Learning, Scikit-learn, Tableau, Statistics. "
Web Designing,"Dedicated Web Designing specialist with strong background. MBA in Human Resources. Worked on various projects involving Adobe XD and React. Implemented solutions that improved efficiency by 20%. Skills: Adobe XD, React, Web Development, HTML, CSS, Responsive Design, Bootstrap. "
Mechanical Engineer,"Passionate about Mechanical Engineer and building scalable solutions. B.S. in relevant field. Worked on various projects involving Product Design and Design. Implemented solutions that improved efficiency by 20%. Skills: Product Design, Design, Matlab, Engineering, Mechanical Engineering, Manufacturing. "
Mechanical Engineer,"Dedicated Mechanical Engineer specialist with strong background. B.Tech in Information Technology. Worked on various projects involving CAD and Manufacturing. Implemented solutions that improved efficiency by 20%. Skills: CAD, Manufacturing, Matlab, Mechanical Engineering, ANSYS, Product Design, Project Management. "
Java Developer,"Results-oriented Java Developer looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving Junit and Git. Implemented solutions that improved efficiency by 20%. Skills: Junit, Git, SQL, Spring Boot, Maven. "
Testing,"Passionate about Testing and building scalable solutions. Master's degree in Engineering. Worked on various projects involving Manual Testing and API Testing. Implemented solutions that improved efficiency by 20%. Skills: Manual Testing, API Testing, TestNG, Java, Cucumber, Python. "
Mechanical Engineer,"Results-oriented Mechanical Engineer looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving SolidWorks and CAD. Implemented solutions that improved efficiency by 20%. Skills: SolidWorks, CAD, AutoCAD, Product Design, ANSYS, Manufacturing, Design, Matlab. "
Data Science,"Passionate about Data Science and building scalable solutions. B.S. in relevant field. Worked on various projects involving TensorFlow and Statistics. Implemented solutions that improved efficiency by 20%. Skills: TensorFlow, Statistics, Scikit-learn, Machine Learning, SQL, Pandas, Data Analysis, NumPy. "
DevOps,"Highly skilled DevOps with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Ansible and Monitoring. Implemented solutions that improved efficiency by 20%. Skills: Ansible, Monitoring, Terraform, CI/CD, Prometheus, Docker, Git, Kubernetes. "
HR,"Highly skilled HR with over 5 years of experience. MBA in Human Resources. Worked on various projects involving Sourcing and Recruitment. Implemented solutions that improved efficiency by 20%. Skills: Sourcing, Recruitment, Employee Relations, Onboarding, Payroll, Communication, Human Resources. "
Testing,"Highly skilled Testing with over 5 years of experience. B.Tech in Information Technology. Worked on various projects involving Bug Tracking and TestNG. Implemented solutions that improved efficiency by 20%. Skills: Bug Tracking, TestNG, Cucumber, Manual Testing, Java. "
Java Developer,"Passionate about Java Developer and building scalable solutions. Master's degree in Engineering. Worked on various projects involving Spring Boot and Junit. Implemented solutions that improved efficiency by 20%. Skills: Spring Boot, Junit, Tomcat, Agile, Microservices. "
Data Science,"Passionate about Data Science and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving Python and Statistics. Implemented solutions that improved efficiency by 20%. Skills: Python, Statistics, Data Science, SQL, NumPy, TensorFlow, Scikit-learn. "
Business Analyst,"Passionate about Business Analyst and building scalable solutions. B.S. in relevant field. Worked on various projects involving Communication and Scrum. Implemented solutions that improved efficiency by 20%. Skills: Communication, Scrum, Stakeholder Management, Business Analysis, Data Analysis, PowerBI, Requirement Gathering. "
Java Developer,"Dedicated Java Developer specialist with strong background. Master's degree in Engineering. Worked on various projects involving Agile and Maven. Implemented solutions that improved efficiency by 20%. Skills: Agile, Maven, Microservices, Tomcat, Spring Boot, Junit, Git, J2EE. "
Python Developer,"Experienced professional with a proven track record in Python Developer. Master's degree in Engineering. Worked on various projects involving REST API and Git. Implemented solutions that improved efficiency by 20%. Skills: REST API, Git, Redis, Flask, PostgreSQL, FastAPI. "
Business Analyst,"Results-oriented Business Analyst looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving Requirement Gathering and Data Analysis. Implemented solutions that improved efficiency by 20%. Skills: Requirement Gathering, Data Analysis, Scrum, Jira, PowerBI, Stakeholder Management. "
Business Analyst,"Dedicated Business Analyst specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Data Analysis and Scrum. Implemented solutions that improved efficiency by 20%. Skills: Data Analysis, Scrum, Stakeholder Management, UML, Business Analysis, SQL, Requirement Gathering. "
Web Designing,"Dedicated Web Designing specialist with strong background. Master's degree in Engineering. Worked on various projects involving Responsive Design and Bootstrap. Implemented solutions that improved efficiency by 20%. Skills: Responsive Design, Bootstrap, HTML, Adobe XD, JavaScript. "
Mechanical Engineer,"Highly skilled Mechanical Engineer with over 5 years of experience. MBA in Human Resources. Worked on various projects involving Product Design and Design. Implemented solutions that improved efficiency by 20%. Skills: Product Design, Design, Mechanical Engineering, Manufacturing, Engineering, ANSYS, Project Management. "
Java Developer,"Results-oriented Java Developer looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving Hibernate and Spring Boot. Implemented solutions that improved efficiency by 20%. Skills: Hibernate, Spring Boot, Maven, REST API, Tomcat, Junit, Git. "
NLP Engineer,"Experienced professional with a proven track record in NLP Engineer. Bachelor's degree in Computer Science. Worked on various projects involving Text Classification and BERT. Implemented solutions that improved efficiency by 20%. Skills: Text Classification, BERT, Word2Vec, Transformers, NLTK. "
Data Science,"Passionate about Data Science and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving Data Analysis and Scikit-learn. Implemented solutions that improved efficiency by 20%. Skills: Data Analysis, Scikit-learn, TensorFlow, SQL, Machine Learning, Keras, NumPy. "
Mechanical Engineer,"Highly skilled Mechanical Engineer with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Project Management and Design. Implemented solutions that improved efficiency by 20%. Skills: Project Management, Design, CAD, Matlab, AutoCAD. "
Mechanical Engineer,"Experienced professional with a proven track record in Mechanical Engineer. B.Tech in Information Technology. Worked on various projects involving AutoCAD and CAD. Implemented solutions that improved efficiency by 20%. Skills: AutoCAD, CAD, Manufacturing, ANSYS, Engineering, Product Design. "
Web Designing,"Experienced professional with a proven track record in Web Designing. Bachelor's degree in Computer Science. Worked on various projects involving Angular and HTML. Implemented solutions that improved efficiency by 20%. Skills: Angular, HTML, CSS, React, JavaScript. "
Web Designing,"Passionate about Web Designing and building scalable solutions. Master's degree in Engineering. Worked on various projects involving HTML and Web Development. Implemented solutions that improved efficiency by 20%. Skills: HTML, Web Development, JavaScript, UI/UX, Angular, React, Bootstrap, Responsive Design. "
Java Developer,"Passionate about Java Developer and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Hibernate and Git. Implemented solutions that improved efficiency by 20%. Skills: Hibernate, Git, J2EE, Microservices, Spring Boot. "
Data Science,"Results-oriented Data Science looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving SQL and Keras. Implemented solutions that improved efficiency by 20%. Skills: SQL, Keras, Machine Learning, Python, Pandas, Scikit-learn, Statistics. "
Python Developer,"Experienced professional with a proven track record in Python Developer. Master's degree in Engineering. Worked on various projects involving AWS and Flask. Implemented solutions that improved efficiency by 20%. Skills: AWS, Flask, Unit Testing, Python, Docker, Linux, Redis. "
Testing,"Passionate about Testing and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving Automation Testing and Jira. Implemented solutions that improved efficiency by 20%. Skills: Automation Testing, Jira, Selenium, Java, Postman, TestNG. "
Data Science,"Experienced professional with a proven track record in Data Science. B.S. in relevant field. Worked on various projects involving NumPy and Data Science. Implemented solutions that improved efficiency by 20%. Skills: NumPy, Data Science, TensorFlow, Python, Keras. "
Mechanical Engineer,"Dedicated Mechanical Engineer specialist with strong background. Master's degree in Engineering. Worked on various projects involving ANSYS and Project Management. Implemented solutions that improved efficiency by 20%. Skills: ANSYS, Project Management, SolidWorks, CAD, AutoCAD, Product Design, Manufacturing. "
Web Designing,"Results-oriented Web Designing looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving React and Responsive Design. Implemented solutions that improved efficiency by 20%. Skills: React, Responsive Design, HTML, Figma, Angular. "
Testing,"Passionate about Testing and building scalable solutions. MBA in Human Resources. Worked on various projects involving Bug Tracking and Selenium. Implemented solutions that improved efficiency by 20%. Skills: Bug Tracking, Selenium, Python, TestNG, Jira, Agile, Manual Testing. "
HR,"Experienced professional with a proven track record in HR. Master's degree in Engineering. Worked on various projects involving Human Resources and Recruitment. Implemented solutions that improved efficiency by 20%. Skills: Human Resources, Recruitment, Talent Acquisition, Onboarding, Interviewing, Payroll, Employee Relations. "
DevOps,"Highly skilled DevOps with over 5 years of experience. MBA in Human Resources. Worked on various projects involving CI/CD and Docker. Implemented solutions that improved efficiency by 20%. Skills: CI/CD, Docker, Kubernetes, Jenkins, Linux, Prometheus, Ansible. "
NLP Engineer,"Experienced professional with a proven track record in NLP Engineer. MBA in Human Resources. Worked on various projects involving Python and BERT. Implemented solutions that improved efficiency by 20%. Skills: Python, BERT, LLMs, Natural Language Processing, NLP. "
Java Developer,"Dedicated Java Developer specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving Hibernate and Agile. Implemented solutions that improved efficiency by 20%. Skills: Hibernate, Agile, Java, J2EE, Maven. "
Web Designing,"Highly skilled Web Designing with over 5 years of experience. Master's degree in Engineering. Worked on various projects involving Adobe XD and JavaScript. Implemented solutions that improved efficiency by 20%. Skills: Adobe XD, JavaScript, Angular, UI/UX, Bootstrap. "
NLP Engineer,"Results-oriented NLP Engineer looking for challenging opportunities. MBA in Human Resources. Worked on various projects involving Python and Natural Language Processing. Implemented solutions that improved efficiency by 20%. Skills: Python, Natural Language Processing, NLTK, NLP, spaCy, BERT. "
DevOps,"Results-oriented DevOps looking for challenging opportunities. Master's degree in Engineering. Worked on various projects involving CI/CD and AWS. Implemented solutions that improved efficiency by 20%. Skills: CI/CD, AWS, Kubernetes, Git, Docker, Monitoring, Bash. "
Java Developer,"Passionate about Java Developer and building scalable solutions. MBA in Human Resources. Worked on various projects involving Hibernate and Maven. Implemented solutions that improved efficiency by 20%. Skills: Hibernate, Maven, SQL, REST API, Junit, Tomcat, Agile, Java. "
NLP Engineer,"Experienced professional with a proven track record in NLP Engineer. MBA in Human Resources. Worked on various projects involving BERT and spaCy. Implemented solutions that improved efficiency by 20%. Skills: BERT, spaCy, Deep Learning, Transformers, Python, Natural Language Processing. "
NLP Engineer,"Dedicated NLP Engineer specialist with strong background. B.Tech in Information Technology. Worked on various projects involving NLTK and Deep Learning. Implemented solutions that improved efficiency by 20%. Skills: NLTK, Deep Learning, Python, Word2Vec, Text Classification, LLMs, Transformers, NLP. "
Business Analyst,"Highly skilled Business Analyst with over 5 years of experience. B.Tech in Information Technology. Worked on various projects involving Business Analysis and PowerBI. Implemented solutions that improved efficiency by 20%. Skills: Business Analysis, PowerBI, UML, Jira, Data Analysis, Communication, Agile, Requirement Gathering. "
DevOps,"Passionate about DevOps and building scalable solutions. MBA in Human Resources. Worked on various projects involving AWS and CI/CD. Implemented solutions that improved efficiency by 20%. Skills: AWS, CI/CD, Monitoring, Jenkins, Kubernetes, Git, Linux. "
Data Science,"Results-oriented Data Science looking for challenging opportunities. B.Tech in Information Technology. Worked on various projects involving Pandas and Tableau. Implemented solutions that improved efficiency by 20%. Skills: Pandas, Tableau, Statistics, Data Analysis, Python, Machine Learning, SQL. "
Data Science,"Passionate about Data Science and building scalable solutions. Master's degree in Engineering. Worked on various projects involving Scikit-learn and Machine Learning. Implemented solutions that improved efficiency by 20%. Skills: Scikit-learn, Machine Learning, Data Science, Data Analysis, Keras, Tableau, NumPy. "
DevOps,"Experienced professional with a proven track record in DevOps. B.S. in relevant field. Worked on various projects involving Linux and Terraform. Implemented solutions that improved efficiency by 20%. Skills: Linux, Terraform, Kubernetes, AWS, Prometheus, Bash, Git, CI/CD. "
Mechanical Engineer,"Dedicated Mechanical Engineer specialist with strong background. MBA in Human Resources. Worked on various projects involving Matlab and Manufacturing. Implemented solutions that improved efficiency by 20%. Skills: Matlab, Manufacturing, ANSYS, Product Design, SolidWorks, Design. "
Testing,"Passionate about Testing and building scalable solutions. Bachelor's degree in Computer Science. Worked on various projects involving Agile and Java. Implemented solutions that improved efficiency by 20%. Skills: Agile, Java, Automation Testing, Selenium, Bug Tracking, TestNG, Jira, Postman. "
Data Science,"Highly skilled Data Science with over 5 years of experience. B.S. in relevant field. Worked on various projects involving Python and SQL. Implemented solutions that improved efficiency by 20%. Skills: Python, SQL, Pandas, Scikit-learn, Statistics, NumPy, Machine Learning, Data Analysis. "
Business Analyst,"Passionate about Business Analyst and building scalable solutions. B.Tech in Information Technology. Worked on various projects involving Agile and Stakeholder Management. Implemented solutions that improved efficiency by 20%. Skills: Agile, Stakeholder Management, PowerBI, UML, Requirement Gathering. "
Python Developer,"Experienced professional with a proven track record in Python Developer. Bachelor's degree in Computer Science. Worked on various projects involving REST API and Flask. Implemented solutions that improved efficiency by 20%. Skills: REST API, Flask, Docker, Redis, FastAPI, Python, Django. "
Web Designing,"Dedicated Web Designing specialist with strong background. Bachelor's degree in Computer Science. Worked on various projects involving UI/UX and Angular. Implemented solutions that improved efficiency by 20%. Skills: UI/UX, Angular, HTML, Adobe XD, Web Development. "
Java Developer,"Dedicated Java Developer specialist with strong background. Master's degree in Engineering. Worked on various projects involving Microservices and SQL. Implemented solutions that improved efficiency by 20%. Skills: Microservices, SQL, Java, J2EE, REST API, Git, Tomcat, Maven. "
Testing,"Passionate about Testing and building scalable solutions. B.S. in relevant field. Worked on various projects involving Agile and Jira. Implemented solutions that improved efficiency by 20%. Skills: Agile, Jira, Bug Tracking, API Testing, Python. "
HR,"Experienced professional with a proven track record in HR. Bachelor's degree in Computer Science. Worked on various projects involving Talent Acquisition and Onboarding. Implemented solutions that improved efficiency by 20%. Skills: Talent Acquisition, Onboarding, Recruitment, HR Policies, Sourcing, Payroll, Employee Relations, Communication. "
Web Designing,"Passionate about Web Designing and building scalable solutions. Master's degree in Engineering. Worked on various projects involving CSS and Bootstrap. Implemented solutions that improved efficiency by 20%. Skills: CSS, Bootstrap, Responsive Design, Figma, Adobe XD, Angular, HTML, Web Development. "
Business Analyst,"Experienced professional with a proven track record in Business Analyst. Bachelor's degree in Computer Science. Worked on various projects involving PowerBI and Communication. Implemented solutions that improved efficiency by 20%. Skills: PowerBI, Communication, UML, Data Analysis, SQL, Excel, Scrum, Business Analysis. "
Business Analyst,"Results-oriented Business Analyst looking for challenging opportunities. Bachelor's degree in Computer Science. Worked on various projects involving Communication and UML. Implemented solutions that improved efficiency by 20%. Skills: Communication, UML, Data Analysis, Stakeholder Management, Scrum. "
Business Analyst,"Dedicated Business Analyst specialist with strong background. B.Tech in Information Technology. Worked on various projects involving Data Analysis and Requirement Gathering. Implemented solutions that improved efficiency by 20%. Skills: Data Analysis, Requirement Gathering, PowerBI, Scrum, UML, SQL. "
Data Science,"Highly skilled Data Science with over 5 years of experience. MBA in Human Resources. Worked on various projects involving NumPy and Keras. Implemented solutions that improved efficiency by 20%. Skills: NumPy, Keras, SQL, TensorFlow, Data Science, Data Analysis, Python. "
